model,tensor_parallel,input_output_length,batch_size,throughput,mean_latency,p50_latency,p99_latency,p10_latency,p90_latency
Qwen_Qwen2-7B,1,1024,16,433.3473659079462,75.61601287536323,75.58856596599799,76.21990816136123,75.54692299827002,75.63135353599209
Qwen_Qwen2-7B,1,512,32,789.321525588295,41.51413452911656,41.52077078749426,41.580253473746126,41.449072172748856,41.5695987485582
Qwen_Qwen2-7B,1,1024,32,736.2360296178969,89.01493184734912,88.96739257185254,89.5430991059402,88.73651914361399,89.27978135189042
Qwen_Qwen2-7B,1,256,32,839.961025535806,19.50566693204455,19.538411574438214,19.569496402870865,19.437694270326755,19.556799064972438
Qwen_Qwen2-7B,1,512,16,453.73004285657845,36.10957717688289,36.10748797701672,36.15050366643118,36.08160025966354,36.14336344229523
Qwen_Qwen2-7B,1,512,1,25.25818775680823,40.541309212652656,40.53841903049033,40.56076494937297,40.53448021740187,40.550929136876945
Qwen_Qwen2-7B,1,1024,1,25.13051865672847,81.4945376963665,81.37005162751302,82.11013024395797,81.34505626023747,81.78449093676173
Qwen_Qwen2-7B,1,128,16,467.01699964661793,8.7705586800895,8.77810296753887,8.783580001567024,8.745576182147488,8.781279688421638
Qwen_Qwen2-7B,1,512,64,1338.4743712046372,48.963208717262994,48.96542187198065,49.098864582262465,48.872918021935035,49.05066710095853
Qwen_Qwen2-7B,1,2048,16,396.7923248311057,165.16448504364428,165.0897651379928,166.06635125970234,164.58314490767663,165.95186310724822
Qwen_Qwen2-7B,1,2048,1,24.92925239861707,164.30496729325193,164.2826977224322,164.62404168267503,164.26015600331593,164.3126219109632
Qwen_Qwen2-7B,1,256,1,25.483447842936712,20.09147283191948,20.09151017689146,20.09668841975974,20.088845226238483,20.09472389537841
Qwen_Qwen2-7B,1,128,32,864.6022638505211,9.474876879823084,9.469755030469969,9.500167881888338,9.454604582162574,9.496628086059355
Qwen_Qwen2-7B,1,128,1,25.58169089104473,10.00715711445082,10.00991536944639,10.013970132411924,9.9981120348908,10.012596902600489
Qwen_Qwen2-7B,1,1024,64,1160.2724952524754,112.9665665059816,112.96121748839505,113.32905159189366,112.80644280819688,113.11192232840695
Qwen_Qwen2-7B,1,2048,64,929.7550398621388,281.94953375984915,279.4425099629443,295.07096620451426,275.96181495287453,291.3729785659816
Qwen_Qwen2-7B,1,128,64,1480.9127093430989,11.063447491964325,11.030676787020639,11.185262419737409,10.97897741496563,11.163357207225635
Qwen_Qwen2-7B,1,2048,32,638.2794862019819,205.35204848886934,205.24240665405523,206.40634016417434,204.48577558593826,206.1540626067901
Qwen_Qwen2-7B,1,256,64,1442.588891376119,22.7147180987522,22.716705867554992,22.75778220703127,22.690220510447396,22.736935116467066
Qwen_Qwen2-7B,1,256,16,463.5278659229605,17.673155385574017,17.674109263462014,17.717726707940457,17.643738670367746,17.698571346956307
