model,tensor_parallel,batch_size,input_output_length,throughput_tokens_per_sec,avg_power_w,energy_wh,efficiency_tokens_per_watt
Qwen_Qwen2-7B,1,1,128,25.58,30.87,3.52,0.83
Qwen_Qwen2-7B,1,1,256,25.48,31.48,7.12,0.81
Qwen_Qwen2-7B,1,1,512,25.26,31.71,14.38,0.8
Qwen_Qwen2-7B,1,1,1024,25.13,30.35,27.56,0.83
Qwen_Qwen2-7B,1,1,2048,24.93,31.57,57.69,0.79
Qwen_Qwen2-7B,1,16,128,467.02,35.4,3.55,13.19
Qwen_Qwen2-7B,1,16,256,463.53,35.52,7.07,13.05
Qwen_Qwen2-7B,1,16,512,453.73,33.6,13.59,13.51
Qwen_Qwen2-7B,1,16,1024,433.35,33.37,28.1,12.98
Qwen_Qwen2-7B,1,16,2048,396.79,32.99,60.59,12.03
Qwen_Qwen2-7B,1,32,128,864.6,44.67,4.81,19.35
Qwen_Qwen2-7B,1,32,256,839.96,43.75,9.59,19.2
Qwen_Qwen2-7B,1,32,512,789.32,42.64,19.83,18.51
Qwen_Qwen2-7B,1,32,1024,736.24,42.11,41.74,17.48
Qwen_Qwen2-7B,1,32,2048,638.28,40.43,92.15,15.79
Qwen_Qwen2-7B,1,64,128,1480.91,44.9,5.65,32.98
Qwen_Qwen2-7B,1,64,256,1442.59,45.74,11.68,31.54
Qwen_Qwen2-7B,1,64,512,1338.47,44.76,24.48,29.9
Qwen_Qwen2-7B,1,64,1024,1160.27,42.77,53.74,27.13
Qwen_Qwen2-7B,1,64,2048,929.76,40.57,126.32,22.92
